Taxon	238322001677.P1	238322001964.P2	238322002045.P3	238322001915.P4	238322001588.K1	238322000220.K2	238322000983.K3	238322001364.K4	238322001495.L1	238322001218.L2	236191003825.L3	236191002984.L4	236191003814.W1	236191002875.W2	236191003850.W3	236191003556.W4	236191002863.CTL1	236191003484.CTL2
g__Prevotella;s__Prevotella sp015074785	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023549	0.000000	0.000000	0.000000	0.000000
g__Prevotella;s__Prevotella sp900551275	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008853	0.000000	0.000000	0.000000	0.000000
g__Prevotella;s__Prevotella sp900557255	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008583	0.000000	0.000000	0.000000	0.000000
g__Prevotella;s__Prevotella timonensis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002491	0.000000	0.000000	0.000000	0.000000
g__Butyricimonas;s__Butyricimonas virosa	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001411	0.000000	0.000000	0.000000	0.000000
g__Alistipes;s__Alistipes putredinis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001871	0.000000	0.000000	0.000000	0.000000
g__Alistipes;s__Alistipes shahii	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001711	0.000000	0.000000	0.000000	0.000000
g__CW01;s__CW01 sp017304675	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.000000	0.000000
g__Cloacibacterium;s__Cloacibacterium caeni_A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Cloacibacterium;s__Cloacibacterium caeni_B	0.000000	0.000000	0.000000	0.000000	0.000000	0.000080	0.000000	0.000220	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
